Name,Date,Close,Volume,Market_Cap
Bitcoin Diamond,"Jul 03, 2018",1.93,"7,252,380","301,353,000"
Bitcoin Diamond,"Jul 02, 2018",1.97,"22,136,400","311,496,000"
Bitcoin Diamond,"Jul 01, 2018",2.02,"3,630,980","292,132,000"
Bitcoin Diamond,"Jun 30, 2018",1.90,"1,320,700","278,334,000"
Bitcoin Diamond,"Jun 29, 2018",1.81,"1,474,480","306,187,000"
Bitcoin Diamond,"Jun 28, 2018",1.99,"840,306","315,051,000"
Bitcoin Diamond,"Jun 27, 2018",2.05,"849,505","312,784,000"
Bitcoin Diamond,"Jun 26, 2018",2.04,"717,886","295,906,000"
Bitcoin Diamond,"Jun 25, 2018",1.93,"1,146,960","284,381,000"
Bitcoin Diamond,"Jun 24, 2018",1.84,"1,821,020","301,797,000"
Bitcoin Diamond,"Jun 23, 2018",1.96,"1,477,040","298,407,000"
Bitcoin Diamond,"Jun 22, 2018",1.94,"1,352,460","348,325,000"
Bitcoin Diamond,"Jun 21, 2018",2.26,"1,044,530","347,020,000"
Bitcoin Diamond,"Jun 20, 2018",2.25,"1,160,710","354,909,000"
Bitcoin Diamond,"Jun 19, 2018",2.31,"1,421,420","370,765,000"
Bitcoin Diamond,"Jun 18, 2018",2.41,"969,265","360,873,000"
Nano,"Jul 15, 2018",2.37,"3,611,210","306,948,000"
Nano,"Jul 14, 2018",2.30,"3,760,110","312,226,000"
Nano,"Jul 13, 2018",2.35,"4,346,700","309,389,000"
Nano,"Jul 12, 2018",2.32,"4,604,760","323,673,000"
Nano,"Jul 11, 2018",2.41,"3,931,260","311,225,000"
Nano,"Jul 10, 2018",2.33,"5,069,740","341,000,000"
Nano,"Jul 09, 2018",2.56,"5,716,290","361,748,000"
Nano,"Jul 08, 2018",2.71,"5,194,570","365,232,000"
Bitcoin Diamond,"Jun 17, 2018",2.35,"889,515","370,153,000"
Bitcoin Diamond,"Jun 16, 2018",2.40,"866,809","372,738,000"
Nano,"Jul 07, 2018",2.76,"4,769,010","352,944,000"
Nano,"Jul 06, 2018",2.66,"4,824,580","351,372,000"
Nano,"Jul 05, 2018",2.65,"6,277,260","360,209,000"
Nano,"Jul 04, 2018",2.69,"4,864,250","339,779,000"
Nano,"Jul 03, 2018",2.55,"8,047,580","361,092,000"
Nano,"Jul 02, 2018",2.72,"7,652,190","330,109,000"
Nano,"Jul 01, 2018",2.45,"5,506,590","325,063,000"
Nano,"Jun 30, 2018",2.44,"6,139,740","307,155,000"
Nano,"Jun 29, 2018",2.29,"4,745,150","284,997,000"
Nano,"Jun 28, 2018",2.13,"5,254,680","297,428,000"
Nano,"Jun 27, 2018",2.23,"6,251,960","292,235,000"
Nano,"Jun 26, 2018",2.20,"3,947,220","318,904,000"
Nano,"Jun 25, 2018",2.40,"5,939,120","310,499,000"
Nano,"Jun 24, 2018",2.34,"8,399,310","336,203,000"
Nano,"Jun 23, 2018",2.53,"6,182,440","342,715,000"
Nano,"Jun 22, 2018",2.57,"8,838,080","389,258,000"
BitShares,"Jul 15, 2018",0.176633,"15,239,800","434,355,000"
BitShares,"Jul 14, 2018",0.164197,"7,259,380","416,604,000"
BitShares,"Jul 13, 2018",0.157586,"14,806,100","406,581,000"
BitShares,"Jul 12, 2018",0.153043,"12,443,900","417,332,000"
BitShares,"Jul 11, 2018",0.157942,"19,259,900","430,939,000"
BitShares,"Jul 10, 2018",0.163419,"24,274,900","474,248,000"
BitShares,"Jul 09, 2018",0.181250,"8,895,580","477,890,000"
