Name,Date,Close,Volume,Market_Cap
Bitcoin Gold,"May 29, 2018",43.30,"14,634,600","689,442,000"
Bitcoin Gold,"May 28, 2018",40.55,"11,881,700","754,813,000"
Bitcoin Gold,"May 27, 2018",44.33,"10,054,500","757,122,000"
Bitcoin Gold,"May 26, 2018",44.44,"10,607,800","770,344,000"
Bitcoin Gold,"May 25, 2018",45.23,"10,904,200","799,961,000"
Bitcoin Gold,"May 24, 2018",47.05,"15,457,600","771,994,000"
Bitcoin Gold,"May 23, 2018",45.38,"16,724,500","861,441,000"
Bitcoin Gold,"May 22, 2018",50.64,"11,871,600","917,701,000"
Bitcoin Gold,"May 21, 2018",53.87,"12,601,400","953,561,000"
Bitcoin Gold,"May 20, 2018",55.91,"14,230,500","904,692,000"
Bitcoin Gold,"May 19, 2018",53.13,"13,166,900","922,708,000"
DigiByte,"Jul 15, 2018",0.037876,"7,261,440","356,757,000"
Aeternity,"Jul 15, 2018",1.76,"5,554,860","395,566,000"
Bitcoin,"Jul 11, 2018",6394.71,"3,644,860,000","108,525,000,000"
Bitcoin,"Jul 10, 2018",6329.95,"4,052,430,000","115,514,000,000"
Bitcoin,"Jul 09, 2018",6741.75,"3,718,130,000","116,118,000,000"
Nano,"Jun 09, 2018",3.80,"7,488,250","522,766,000"
Nano,"Jun 08, 2018",3.92,"11,503,800","544,420,000"
Nano,"Jun 07, 2018",4.09,"16,288,100","527,128,000"
Nano,"Jun 06, 2018",3.97,"15,910,900","532,063,000"
Nano,"Jun 05, 2018",3.99,"15,529,900","521,818,000"
Nano,"Jun 04, 2018",3.91,"9,615,350","564,553,000"
Nano,"Jun 03, 2018",4.25,"10,283,500","562,303,000"
Nano,"Jun 02, 2018",4.22,"9,956,100","543,649,000"
Nano,"Jun 01, 2018",4.08,"10,555,100","560,968,000"
Nano,"May 31, 2018",4.20,"10,246,500","538,277,000"
Basic Attention Token,"Jul 04, 2018",0.250188,"2,681,310","249,975,000"
Basic Attention Token,"Jul 03, 2018",0.249576,"3,674,380","271,335,000"
Basic Attention Token,"Jul 02, 2018",0.271738,"3,659,320","258,049,000"
Basic Attention Token,"Jul 01, 2018",0.257420,"2,366,250","242,630,000"
Basic Attention Token,"Jun 30, 2018",0.243023,"2,690,800","218,216,000"
Basic Attention Token,"Jun 29, 2018",0.218404,"2,184,470","204,318,000"
Basic Attention Token,"Jun 28, 2018",0.205587,"1,902,540","223,710,000"
Basic Attention Token,"Jun 27, 2018",0.223741,"1,713,500","225,055,000"
Basic Attention Token,"Jun 26, 2018",0.225933,"2,278,780","249,666,000"
Basic Attention Token,"Jun 25, 2018",0.247712,"3,054,560","256,403,000"
Basic Attention Token,"Jun 24, 2018",0.257319,"3,549,900","276,485,000"
Basic Attention Token,"Jun 23, 2018",0.275959,"4,754,520","249,713,000"
Lisk,"Jul 08, 2018",5.54,"7,186,910","603,620,000"
Lisk,"Jul 07, 2018",5.60,"6,410,900","611,054,000"
Lisk,"Jul 06, 2018",5.66,"7,307,250","603,108,000"
Lisk,"Jul 05, 2018",5.60,"7,623,050","626,519,000"
Lisk,"Jul 04, 2018",5.82,"8,808,450","604,807,000"
Lisk,"Jul 03, 2018",5.65,"10,262,100","630,916,000"
Lisk,"Jul 02, 2018",5.89,"9,046,320","581,679,000"
Siacoin,"Jun 29, 2018",0.009984,"8,304,640","341,656,000"
Siacoin,"Jun 28, 2018",0.009628,"6,351,290","357,065,000"
Siacoin,"Jun 27, 2018",0.010108,"7,825,780","353,673,000"
Siacoin,"Jun 26, 2018",0.010045,"4,748,840","377,288,000"
Siacoin,"Jun 25, 2018",0.010665,"11,287,900","372,798,000"
Siacoin,"Jun 24, 2018",0.010581,"14,811,700","394,790,000"
Bitcoin Gold,"May 18, 2018",54.21,"20,822,400","905,939,000"
Bitcoin Gold,"May 17, 2018",53.27,"21,261,100","1,017,120,000"
Bitcoin Gold,"May 16, 2018",60.35,"21,224,900","992,018,000"
Bitcoin Gold,"May 15, 2018",58.42,"34,357,600","993,728,000"
Bitcoin Gold,"May 14, 2018",58.49,"22,368,900","1,016,650,000"
Bitcoin Gold,"May 13, 2018",59.81,"16,482,100","975,324,000"
Bitcoin Gold,"May 12, 2018",57.09,"22,741,400","966,277,000"
Bitcoin Gold,"May 11, 2018",56.90,"34,785,000","1,098,790,000"
Bitcoin Gold,"May 10, 2018",64.75,"21,005,700","1,195,940,000"
Bitcoin Gold,"May 09, 2018",70.05,"24,826,900","1,217,010,000"
Bitcoin Gold,"May 08, 2018",71.70,"24,173,700","1,253,340,000"
Bitcoin Gold,"May 07, 2018",73.37,"26,749,600","1,320,350,000"
Bitcoin Gold,"May 06, 2018",77.79,"67,628,600","1,367,950,000"
Bitcoin Gold,"May 05, 2018",80.42,"61,619,100","1,273,600,000"
Bitcoin Gold,"May 04, 2018",75.06,"26,634,700","1,306,330,000"
DigiByte,"Jul 14, 2018",0.033874,"6,200,960","386,711,000"
DigiByte,"Jul 13, 2018",0.036862,"4,731,130","407,646,000"
DigiByte,"Jul 12, 2018",0.038575,"6,579,630","412,211,000"
DigiByte,"Jul 11, 2018",0.039105,"10,400,800","393,396,000"
DigiByte,"Jul 10, 2018",0.037498,"14,192,000","394,072,000"
